Name,EloRating,match_number
Tim Goransson,1550,68
Jean Claude Scherrer,1550,6
Luis Diaz Barriga,1550,42
Kristian Pless,1549,103
Sergei Bubka,1549,101
Maxime Teixeira,1549,18
Nima Roshan,1549,83
Tihomir Grozdanov,1549,85
Woong Sun Jun,1549,86
Julian Knowle,1549,3
Danila Arsenov,1549,73
Steven Moneke,1549,21
Alexander Lobkov,1548,55
Harri Heliovaara,1548,29
Jose Maria Vicente,1548,4
Daniel Danilovic,1548,82
Felipe Parada,1548,25
Ze Zhang,1548,53
Mikhail Ledovskikh,1547,61
Guillermo Carry,1547,32
Romano Tatuhey,1547,4
Todd Widom,1547,99
Alexander Slabinsky,1547,93
Matthew Roberts,1547,61
Daniel Yoo,1546,74
Gaston Giussani,1546,80
Marco Viola,1546,71
Piotr Gadomski,1546,15
Roy Kalmanovich,1545,28
Alberto Giraudo,1545,59
Mikhail Fufygin,1544,80
Marc Steger,1544,14
Florian Reynet,1544,46
Clement Morel,1543,25
Daniel Cox,1543,78
Alexander Farquharson,1543,3
Nikolaus Moser,1542,53
Andrea Collarini,1542,18
Brendan Mckenzie,1542,29
Filippo Leonardi,1542,60
Enrico Burzi,1542,70
Cristhian Ignacio Benedetti,1542,132
Justin Oneal,1542,37
Jan Michael Gambill,1542,13
Sheeva Parbhu,1542,40
Oh Hee Kwon,1541,56
N Vijay Sundar Prashanth,1541,24
Denis Zivkovic,1541,60
Cory Parr,1540,23
Artemon Apostu Efremov,1540,25
Yasutaka Uchiyama,1540,3
David Rice,1540,99
Jeevan Nedunchezhiyan,1540,7
Christian Magg,1539,54
Oscar Sabate Bretos,1539,103
Martin Hromec,1539,4
Matthew Asciak,1538,14
Marcos Conocente,1538,76
Miljan Zekic,1538,73
Michail Elgin,1537,80
Mao Xin Gong,1537,69
Olivier Charroin,1537,36
Nikoloz Basilashvili,1537,49
Rudy Coco,1537,82
Jurek Stasiak,1536,37
Federico Cavallero,1536,78
Guillermo Coria,1536,15
Seung Kyu Park,1535,6
